,,,,,Score,,,,Batting Stats,,,,,,,,,,,,,,,,,,,,,,,,,,Opp Starter,,
Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc
1,1,3/27/2025,,SFG,L,4,6,9,38,33,4,8,1,0,0,4,0,0,4,8,0.242,0.342,0.273,0.615,9,1,1,0,0,0,0,0.32,7,11,Logan Webb,R,45
2,2,3/29/2025,,SFG,W,3,2,9,33,32,3,8,1,0,2,3,0,0,1,9,0.246,0.31,0.369,0.679,15,0,0,0,0,0,0,0.286,6,10,Justin Verlander,R,51
3,3,3/30/2025,,SFG,L,3,6,9,32,30,3,5,0,0,2,3,0,0,2,5,0.221,0.282,0.368,0.65,11,1,0,0,0,0,0,0.13,2,11,Robbie Ray,L,53
4,4,3/31/2025,,TEX,W,14,3,9,44,38,14,14,2,0,3,14,2,0,4,8,0.263,0.333,0.451,0.784,25,1,2,0,0,1,0,0.407,6,12,Kumar Rocker,R,22
5,5,4/1/2025,,TEX,L,0,1,9,30,30,0,4,0,0,0,0,0,0,0,8,0.239,0.299,0.393,0.692,4,1,0,0,0,0,0,0.182,3,10,Nathan Eovaldi,R,87
6,6,4/2/2025,,TEX,L,0,1,9,30,30,0,3,1,0,0,0,2,1,0,10,0.218,0.271,0.352,0.623,4,0,0,0,0,1,0,0.15,3,11,Jack Leiter,R,71
7,7,4/3/2025,@,MIL,L,0,1,9,33,30,0,2,1,0,0,0,0,0,3,9,0.197,0.254,0.318,0.573,3,0,0,0,0,1,0,0.095,6,10,Nestor Cortes,L,74
8,8,4/4/2025,@,MIL,L,2,3,9,37,32,2,5,1,0,0,2,0,0,3,7,0.192,0.253,0.302,0.555,6,0,1,0,1,1,0,0.192,8,11,Tyler Alexander,L,72
9,9,4/5/2025,@,MIL,W,11,7,9,42,38,11,14,2,0,4,11,0,1,2,6,0.215,0.273,0.358,0.631,28,1,1,0,1,0,0,0.345,4,10,Elvin Rodríguez,R,24
10,10,4/6/2025,@,MIL,L,2,8,9,34,31,2,5,1,0,1,2,0,1,3,11,0.21,0.269,0.352,0.621,9,0,0,0,0,0,0,0.211,5,11,Chad Patrick,R,61
11,11,4/7/2025,@,SFG,W,2,0,9,35,29,2,5,1,0,0,2,0,1,3,13,0.207,0.269,0.34,0.609,6,0,1,2,0,0,1,0.313,6,9,Logan Webb,R,79
12,12,4/8/2025,@,SFG,W,1,0,9,34,33,1,8,3,0,0,1,2,1,1,6,0.21,0.269,0.339,0.608,11,1,0,0,0,0,0,0.296,6,10,Landen Roupp,R,58
13,13,4/9/2025,@,SFG,L,6,8,10,41,37,6,6,2,0,0,6,0,0,4,16,0.206,0.267,0.329,0.595,8,0,0,0,0,0,0,0.286,6,12,Justin Verlander,R,43
14,14,4/11/2025,,PIT,W,5,3,9,32,26,5,4,0,0,1,2,2,1,6,7,0.203,0.27,0.325,0.595,7,1,0,0,0,0,0,0.167,3,10,Bailey Falter,L,44
15,15,4/12/2025,,PIT,W,5,2,9,33,27,5,4,1,0,1,5,0,0,3,7,0.2,0.272,0.324,0.595,8,2,3,0,0,0,0,0.158,4,10,Andrew Heaney,L,54
16,16,4/13/2025,,PIT,W,4,0,9,33,30,4,6,2,0,0,4,1,0,3,7,0.2,0.272,0.32,0.592,8,0,0,0,0,0,0,0.261,5,10,Carmen Mlodzinski,R,39
17,17,4/15/2025,,SEA,W,8,4,9,40,33,8,9,2,0,1,8,0,0,7,6,0.204,0.28,0.327,0.607,14,0,0,0,0,0,0,0.308,8,10,Luis Castillo,R,24
18,18,4/16/2025,,SEA,L,3,5,9,35,33,3,10,2,0,0,3,1,1,2,12,0.21,0.284,0.329,0.613,12,1,0,0,0,0,0,0.476,5,10,Bryce Miller,R,67
19,19,4/17/2025,,SEA,L,7,11,10,44,37,7,10,1,0,2,7,1,1,6,7,0.213,0.289,0.337,0.626,17,1,0,0,1,0,0,0.276,8,12,Emerson Hancock,R,53
20,20,4/18/2025,@,BAL,W,8,3,9,44,37,8,11,2,0,3,7,0,0,7,11,0.218,0.296,0.351,0.648,22,1,0,0,0,0,0,0.348,9,9,Cade Povich,L,19
