Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,,CLE,L,4,7,10,38,35,4,7,2,0,1,4,2,0,1,10,0.2,0.216,0.343,0.559,12,0,0,1,1,0,0,0.24,5,13,Ben Lively,R,50,15
2,2,3/29/2025,,CLE,W,4,3,9,35,33,4,10,1,0,1,4,1,1,2,4,0.25,0.278,0.382,0.66,14,0,0,0,0,0,1,0.321,7,11,Gavin Williams,R,52,17
3,3,3/30/2025,,CLE,L,2,6,9,38,32,2,5,2,1,0,2,0,1,4,6,0.22,0.282,0.35,0.632,9,0,2,0,0,1,0,0.192,9,12,Tanner Bibee,R,65,14
4,4,3/31/2025,@,MIL,W,11,1,9,48,41,11,14,2,0,2,11,2,0,5,7,0.255,0.329,0.404,0.733,22,0,2,0,0,0,0,0.375,10,12,Elvin Rodríguez,R,36,31
5,5,4/1/2025,@,MIL,L,0,5,9,36,31,0,4,3,0,0,0,0,0,4,9,0.233,0.314,0.372,0.687,7,0,1,0,0,0,1,0.182,9,10,Chad Patrick,R,60,13
6,6,4/2/2025,@,MIL,L,2,3,11,37,35,2,4,2,0,0,2,0,1,1,14,0.213,0.287,0.338,0.625,6,0,0,1,0,0,0,0.19,4,12,Freddy Peralta,R,82,6
7,7,4/4/2025,,BAL,W,8,2,9,40,36,8,11,3,0,0,8,3,0,2,5,0.226,0.297,0.346,0.643,14,0,1,1,0,1,1,0.355,8,11,Dean Kremer,R,38,21
8,8,4/5/2025,,BAL,L,1,8,9,35,31,1,5,0,0,1,1,0,0,3,6,0.219,0.293,0.336,0.629,8,1,1,0,0,0,0,0.167,7,12,Tomoyuki Sugano,R,57,11
9,9,4/6/2025,,BAL,W,4,1,9,35,33,4,12,3,0,0,4,2,0,1,7,0.235,0.301,0.349,0.649,15,1,0,0,1,1,0,0.444,7,12,Cade Povich,L,42,17
10,10,4/7/2025,,MIN,W,4,2,9,36,32,4,9,3,0,1,4,0,1,4,8,0.239,0.307,0.36,0.667,15,0,0,0,0,0,0,0.348,8,9,Simeon Woods Richardson,R,39,18
11,11,4/8/2025,,MIN,W,2,1,9,31,28,2,3,1,0,0,2,0,0,3,8,0.229,0.298,0.343,0.641,4,1,0,0,0,2,0,0.15,5,10,Pablo López,R,61,6
12,12,4/9/2025,,MIN,L,0,4,9,30,29,0,3,1,0,0,0,0,0,1,4,0.22,0.287,0.328,0.615,4,0,0,0,0,0,0,0.12,3,10,Joe Ryan,R,77,5
13,13,4/10/2025,,MIN,W,3,2,9,34,30,3,7,1,0,0,3,1,0,2,6,0.221,0.287,0.324,0.611,8,1,1,0,1,1,0,0.28,7,10,Bailey Ober,R,61,11
14,14,4/11/2025,@,CLE,L,0,7,9,34,29,0,5,0,0,0,0,0,1,5,7,0.218,0.288,0.314,0.602,5,1,0,0,0,0,0,0.227,7,9,Tanner Bibee,R,58,8
15,15,4/12/2025,@,CLE,L,3,6,9,35,32,3,6,0,0,1,3,1,0,2,15,0.216,0.284,0.312,0.596,9,0,0,0,1,0,0,0.294,5,10,Luis Ortiz,R,71,12
16,16,4/13/2025,@,CLE,W,4,2,9,35,33,4,9,2,0,1,4,0,0,2,9,0.219,0.286,0.319,0.605,14,2,0,0,0,0,0,0.348,4,9,Ben Lively,R,45,14
17,17,4/14/2025,@,NYY,L,1,4,9,33,29,1,2,0,0,1,1,0,0,4,8,0.211,0.28,0.311,0.592,5,0,0,0,0,0,0,0.05,5,9,Carlos Carrasco,R,63,9
18,18,4/15/2025,@,NYY,L,2,4,9,34,32,2,5,2,0,1,2,0,0,2,9,0.208,0.276,0.312,0.588,10,0,0,0,0,0,0,0.182,5,9,Max Fried,L,61,12
19,19,4/16/2025,@,NYY,L,3,4,9,33,30,3,5,0,1,0,3,0,1,3,6,0.206,0.274,0.308,0.582,7,1,0,0,0,0,0,0.208,3,11,Clarke Schmidt,R,49,8
20,20,4/17/2025,@,DET,L,1,6,9,38,33,1,7,1,0,0,1,0,0,4,7,0.207,0.277,0.304,0.581,8,1,1,0,0,0,0,0.269,10,10,Reese Olson,R,62,12
