Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,@,TEX,W,5,2,9,36,33,5,6,0,0,2,5,2,0,3,13,0.182,0.25,0.364,0.614,12,0,0,0,0,0,0,0.222,4,10,Nathan Eovaldi,R,67,17
2,2,3/28/2025,@,TEX,L,1,4,9,36,34,1,8,0,0,0,1,2,0,2,7,0.209,0.264,0.299,0.562,8,1,0,0,0,0,0,0.296,8,9,Jack Leiter,R,56,11
3,3,3/29/2025,@,TEX,L,3,4,9,40,34,3,7,2,0,1,3,0,0,6,11,0.208,0.286,0.317,0.603,12,0,0,0,0,0,0,0.273,10,12,Tyler Mahle,R,46,18
4,4,3/30/2025,@,TEX,L,2,3,9,39,33,2,5,3,0,0,1,4,0,5,11,0.194,0.285,0.299,0.583,8,0,1,0,0,1,1,0.227,10,10,Jacob deGrom,R,67,19
5,5,3/31/2025,@,BAL,L,5,8,9,39,35,5,8,1,1,0,5,1,0,4,13,0.201,0.289,0.302,0.591,11,0,0,0,0,0,0,0.364,7,11,Cade Povich,L,47,16
6,6,4/2/2025,@,BAL,W,3,0,9,37,34,3,10,3,0,1,3,0,0,3,9,0.217,0.3,0.33,0.63,16,1,0,0,0,0,0,0.375,7,9,Zach Eflin,R,49,18
7,7,4/3/2025,@,BAL,W,8,4,9,40,37,8,11,2,0,3,8,0,0,2,11,0.229,0.303,0.371,0.674,22,0,0,0,1,0,0,0.333,5,9,Charlie Morton,R,43,24
8,8,4/4/2025,,STL,W,13,9,9,46,37,13,16,4,0,2,12,2,0,8,3,0.256,0.335,0.415,0.751,26,1,0,0,1,0,0,0.424,9,9,Erick Fedde,R,22,35
9,9,2025-04-06 (1),,STL,W,5,4,10,42,34,5,8,1,0,1,5,2,0,8,13,0.254,0.341,0.408,0.749,12,0,0,0,0,0,1,0.35,10,11,Andre Pallante,R,50,23
10,10,2025-04-06 (2),,STL,W,18,7,9,50,46,18,21,8,0,1,17,1,0,4,5,0.28,0.36,0.445,0.806,32,0,0,0,0,1,0,0.5,8,13,Miles Mikolas,R,2,37
11,11,4/7/2025,,TOR,L,2,6,9,35,30,2,5,2,0,0,2,1,0,4,4,0.271,0.352,0.429,0.781,7,0,0,0,1,1,0,0.185,6,10,José Berríos,R,64,12
12,12,4/8/2025,,TOR,L,1,6,9,35,34,1,8,1,0,0,1,0,0,1,12,0.268,0.345,0.416,0.761,9,2,0,0,0,1,0,0.364,7,11,Easton Lucas,L,69,8
13,13,4/9/2025,,TOR,L,1,2,11,37,35,1,4,2,0,0,1,1,0,1,14,0.257,0.33,0.397,0.727,6,1,0,0,1,0,1,0.182,5,10,Kevin Gausman,R,82,8
14,14,4/10/2025,,TOR,W,4,3,10,41,35,4,8,0,0,0,3,3,2,4,10,0.255,0.331,0.385,0.716,8,1,2,0,0,1,1,0.32,9,12,Chris Bassitt,R,59,15
15,15,4/11/2025,@,CHW,L,1,11,9,37,32,1,7,3,0,0,1,1,0,2,11,0.252,0.329,0.381,0.709,10,1,2,0,1,0,0,0.318,9,9,Davis Martin,R,61,14
16,16,4/12/2025,@,CHW,L,2,3,9,38,32,2,7,0,1,0,2,3,0,6,11,0.25,0.33,0.375,0.704,9,2,0,0,0,0,1,0.333,9,9,Martín Pérez,L,47,17
17,17,4/13/2025,@,CHW,W,3,1,9,37,35,3,9,1,0,1,3,0,1,2,7,0.251,0.328,0.375,0.702,13,1,0,0,0,0,0,0.296,7,9,Shane Smith,R,55,13
