Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/18/2025,@,CHC,W,4,1,9,42,34,4,7,2,0,0,3,0,0,8,9,0.206,0.357,0.265,0.622,9,0,0,0,0,0,0,0.28,11,9,Shota Imanaga,L,60,17
2,2,3/19/2025,@,CHC,W,6,3,9,38,30,6,7,3,0,3,5,0,0,7,9,0.219,0.363,0.438,0.8,19,3,0,0,1,0,1,0.211,5,9,Justin Steele,L,36,24
3,3,3/27/2025,,DET,W,5,4,9,32,31,5,7,0,0,3,5,0,0,1,6,0.221,0.33,0.463,0.794,16,0,0,0,0,0,0,0.182,3,9,Tarik Skubal,L,40,17
4,4,3/28/2025,,DET,W,8,5,10,38,35,8,8,1,0,3,8,0,0,2,10,0.223,0.32,0.477,0.797,18,1,1,0,0,0,0,0.227,3,10,Jack Flaherty,R,58,20
5,5,3/29/2025,,DET,W,7,3,9,34,31,7,7,3,0,3,7,1,0,3,9,0.224,0.315,0.503,0.818,19,0,0,0,0,0,1,0.211,3,9,Reese Olson,R,43,24
6,6,3/31/2025,,ATL,W,6,1,9,38,31,6,9,1,0,2,6,1,0,6,7,0.234,0.329,0.505,0.834,16,1,0,0,1,0,0,0.304,8,10,Grant Holmes,R,37,22
7,7,4/1/2025,,ATL,W,3,1,9,31,29,3,5,0,0,1,3,2,0,0,7,0.226,0.316,0.475,0.791,8,0,2,0,0,0,0,0.19,4,9,Chris Sale,L,52,12
8,8,4/2/2025,,ATL,W,6,5,9,37,32,6,9,1,0,3,6,0,0,4,8,0.233,0.324,0.49,0.814,19,0,1,0,0,0,0,0.286,6,9,Bryce Elder,R,45,24
9,9,4/4/2025,@,PHI,L,2,3,9,33,29,2,5,1,0,1,2,3,3,4,11,0.227,0.319,0.472,0.791,9,0,0,0,0,0,0,0.235,4,11,Jesús Luzardo,L,79,13
10,10,4/5/2025,@,PHI,W,3,1,9,35,33,3,7,1,0,2,3,0,0,2,3,0.225,0.313,0.467,0.78,14,1,0,0,0,0,0,0.179,5,9,Aaron Nola,R,47,15
11,11,4/6/2025,@,PHI,L,7,8,9,39,35,7,9,3,0,2,7,0,0,2,10,0.229,0.312,0.471,0.784,18,0,1,0,1,0,0,0.292,5,9,Cristopher Sánchez,L,49,21
12,12,4/7/2025,@,WSN,L,4,6,9,38,35,4,9,1,1,1,4,0,0,3,11,0.231,0.313,0.468,0.78,15,1,0,0,0,0,0,0.348,7,11,MacKenzie Gore,L,60,17
13,13,4/8/2025,@,WSN,L,2,8,9,41,36,2,8,0,0,2,2,0,0,5,15,0.23,0.313,0.461,0.774,14,0,0,0,0,1,0,0.316,12,12,Brad Lord,R,57,19
14,14,4/9/2025,@,WSN,W,6,5,9,40,35,6,8,0,1,2,6,1,0,4,10,0.23,0.314,0.461,0.774,16,0,1,0,0,0,0,0.261,7,9,Jake Irvin,R,52,22
15,15,4/11/2025,,CHC,W,3,0,9,34,30,3,6,0,0,1,3,0,0,3,9,0.228,0.313,0.451,0.763,9,0,1,0,0,0,0,0.25,7,10,Matthew Boyd,L,56,13
16,16,4/12/2025,,CHC,L,0,16,9,32,32,0,6,0,0,0,0,1,0,0,7,0.226,0.306,0.434,0.74,6,1,0,0,0,0,0,0.24,5,12,Ben Brown,R,67,6
