Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,@,SDP,L,4,7,9,41,35,4,7,0,0,2,4,0,0,6,10,0.2,0.317,0.371,0.689,13,0,0,0,0,1,0,0.217,10,9,Michael King,R,37,19
2,2,3/28/2025,@,SDP,L,3,4,9,36,32,3,5,1,0,1,3,0,0,4,13,0.179,0.286,0.328,0.614,9,0,0,0,0,0,0,0.222,6,9,Dylan Cease,R,48,13
3,3,3/29/2025,@,SDP,L,0,1,9,34,29,0,5,1,0,0,0,1,1,5,5,0.177,0.288,0.292,0.58,6,2,0,0,0,0,0,0.208,7,11,Randy Vásquez,R,63,9
4,4,3/30/2025,@,SDP,L,0,5,9,27,26,0,1,0,0,0,0,0,0,1,8,0.148,0.246,0.238,0.484,1,1,0,0,0,0,0,0.056,0,10,Nick Pivetta,R,79,1
5,5,3/31/2025,@,LAD,L,1,6,9,35,31,1,4,0,0,1,1,0,0,4,14,0.144,0.243,0.235,0.478,7,0,0,0,0,0,0,0.188,7,10,Tyler Glasnow,R,68,11
6,6,4/1/2025,@,LAD,L,1,3,9,33,29,1,3,1,0,0,0,1,0,4,10,0.137,0.238,0.22,0.458,4,1,0,0,0,0,0,0.158,5,10,Dustin May,R,66,8
7,7,4/2/2025,@,LAD,L,5,6,9,41,36,5,8,3,0,0,4,1,0,5,8,0.151,0.251,0.234,0.485,11,0,0,0,0,2,0,0.286,9,11,Blake Snell,L,40,17
8,8,4/4/2025,,MIA,W,10,0,9,44,40,10,16,2,0,2,10,0,0,3,9,0.19,0.282,0.291,0.572,24,0,1,0,0,0,0,0.483,10,10,Max Meyer,R,50,28
9,9,4/5/2025,,MIA,L,0,4,9,34,32,0,7,2,1,0,0,0,1,2,11,0.193,0.28,0.297,0.577,11,1,0,0,0,0,0,0.333,7,10,Cal Quantrill,R,63,11
10,10,4/8/2025,,PHI,W,7,5,9,41,33,7,11,4,0,1,6,0,0,6,8,0.207,0.296,0.322,0.618,18,0,0,1,1,0,0,0.4,10,10,Zack Wheeler,R,36,24
11,11,4/9/2025,,PHI,L,3,4,9,42,35,3,10,0,0,1,3,0,0,5,7,0.215,0.305,0.327,0.631,13,1,1,0,1,0,0,0.321,12,12,Taijuan Walker,R,56,18
12,12,4/10/2025,,PHI,W,4,2,11,39,36,4,9,3,0,1,4,1,0,2,10,0.218,0.303,0.335,0.638,15,1,0,1,0,0,0,0.32,7,10,Jesús Luzardo,L,61,17
13,13,4/11/2025,@,TBR,L,3,6,9,37,35,3,8,2,0,2,3,0,0,2,9,0.219,0.301,0.345,0.646,16,0,0,0,0,1,0,0.25,7,10,Taj Bradley,R,63,18
14,14,4/12/2025,@,TBR,W,5,4,9,42,38,5,15,1,0,4,5,3,0,4,11,0.233,0.313,0.377,0.69,28,4,0,0,0,0,0,0.478,10,11,Drew Rasmussen,R,65,31
15,15,4/13/2025,@,TBR,L,3,8,9,34,31,3,4,0,0,0,3,3,0,2,13,0.227,0.306,0.361,0.668,4,1,1,0,0,1,0,0.222,4,11,Joe Boyle,R,68,9
16,16,4/14/2025,@,TOR,W,8,4,9,36,31,8,6,2,0,3,8,1,0,4,4,0.225,0.306,0.372,0.679,17,2,1,0,0,0,0,0.125,1,9,Easton Lucas,L,22,21
17,17,4/15/2025,@,TOR,L,3,6,9,36,34,3,8,0,0,3,3,0,0,2,9,0.226,0.305,0.38,0.685,17,0,0,0,0,0,0,0.227,6,10,Kevin Gausman,R,58,19
18,18,4/16/2025,@,TOR,L,1,3,9,35,32,1,5,0,0,1,1,0,0,3,19,0.222,0.301,0.373,0.674,8,0,0,0,0,0,0,0.333,7,10,Chris Bassitt,R,69,11
19,19,4/18/2025,,MIN,W,6,4,9,37,33,6,8,0,0,1,6,1,0,4,9,0.223,0.302,0.371,0.673,11,0,0,0,0,1,0,0.304,7,13,Chris Paddack,R,62,16
20,20,4/19/2025,,MIN,W,4,3,9,38,35,4,12,3,0,1,4,0,0,2,6,0.229,0.307,0.379,0.685,18,0,1,0,0,0,0,0.393,10,9,Justin Topa,R,44,21
