Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/18/2025,,LAD,L,1,4,9,32,30,1,3,1,0,0,1,1,0,1,9,0.1,0.156,0.133,0.29,4,0,1,0,0,0,0,0.143,4,10,Yoshinobu Yamamoto,R,60,7
2,2,3/19/2025,,LAD,L,3,6,9,41,34,3,8,2,0,0,3,2,0,7,12,0.172,0.274,0.219,0.493,10,0,0,0,0,0,0,0.364,11,11,Roki Sasaki,R,51,19
3,3,3/27/2025,@,ARI,W,10,6,9,47,41,10,12,3,0,1,10,1,0,6,10,0.219,0.317,0.305,0.621,18,0,0,0,0,1,0,0.367,10,9,Zac Gallen,R,38,25
4,4,3/28/2025,@,ARI,L,1,8,9,35,31,1,3,2,0,0,1,2,0,4,5,0.191,0.29,0.272,0.562,5,0,0,0,0,2,0,0.115,7,9,Merrill Kelly,R,55,11
5,5,3/29/2025,@,ARI,W,4,3,9,37,36,4,8,2,0,2,4,0,0,1,9,0.198,0.281,0.308,0.589,16,0,0,0,0,1,0,0.24,6,10,Brandon Pfaadt,R,52,17
6,6,3/30/2025,@,ARI,L,6,10,9,39,35,6,9,1,0,3,6,0,0,4,10,0.208,0.29,0.348,0.638,19,1,0,0,0,0,0,0.273,6,10,Eduardo Rodríguez,L,52,22
7,7,3/31/2025,@,ATH,W,18,3,9,60,48,18,21,6,1,4,18,0,0,10,7,0.251,0.34,0.443,0.783,41,0,1,0,1,0,0,0.447,15,12,Joey Estes,R,18,52
8,8,4/1/2025,@,ATH,W,7,4,9,40,36,7,9,2,0,2,7,1,0,3,8,0.251,0.335,0.447,0.782,17,0,0,0,1,1,1,0.259,6,10,Luis Severino,R,41,22
9,9,4/2/2025,@,ATH,W,10,2,9,47,38,10,11,1,0,2,10,4,0,7,9,0.255,0.344,0.45,0.794,18,0,1,0,1,0,0,0.321,10,9,Jeffrey Springs,L,30,30
10,10,4/4/2025,,SDP,W,3,1,9,36,28,3,3,0,0,0,2,1,0,7,5,0.244,0.341,0.423,0.764,3,0,1,0,0,0,0,0.13,9,10,Randy Vásquez,R,47,12
11,11,4/5/2025,,SDP,W,7,1,9,44,36,7,11,2,0,2,7,1,1,8,8,0.249,0.349,0.433,0.782,19,0,0,0,0,2,0,0.346,13,9,Nick Pivetta,R,36,27
12,12,4/6/2025,,SDP,L,7,8,9,40,30,7,6,1,0,1,5,3,0,8,8,0.246,0.35,0.426,0.776,10,1,0,1,1,0,0,0.227,6,11,Kyle Hart,L,24,20
13,13,4/7/2025,,TEX,W,7,0,9,38,31,7,10,1,1,0,7,5,0,3,7,0.251,0.354,0.425,0.779,13,2,2,1,1,0,0,0.4,7,9,Nathan Eovaldi,R,46,21
14,14,4/8/2025,,TEX,W,10,6,9,43,35,10,12,1,0,1,10,4,0,6,5,0.258,0.36,0.427,0.788,16,1,1,0,1,1,1,0.367,9,11,Patrick Corbin,L,38,27
15,15,4/9/2025,,TEX,L,2,6,9,32,31,2,4,0,1,0,2,0,0,1,5,0.25,0.35,0.413,0.763,6,0,0,0,0,0,0,0.154,3,9,Tyler Mahle,R,72,7
16,16,4/11/2025,@,LAD,L,0,3,9,29,28,0,2,1,0,0,0,0,0,1,11,0.241,0.339,0.398,0.736,3,0,0,0,0,0,0,0.118,2,9,Yoshinobu Yamamoto,R,76,4
17,17,4/12/2025,@,LAD,W,16,0,9,53,47,16,21,5,0,4,16,1,0,4,4,0.257,0.35,0.43,0.78,38,0,1,0,1,0,0,0.425,10,13,Roki Sasaki,R,56,44
18,18,4/13/2025,@,LAD,W,4,2,9,37,34,4,8,1,1,3,4,0,1,2,13,0.256,0.348,0.439,0.786,20,0,1,0,0,0,0,0.278,6,11,Tyler Glasnow,R,64,22
19,19,4/14/2025,@,SDP,L,4,10,9,41,38,4,11,4,0,1,4,1,1,3,9,0.258,0.347,0.441,0.788,18,0,0,0,0,1,1,0.357,10,10,Dylan Cease,R,50,22
20,20,4/15/2025,@,SDP,W,2,1,10,45,40,2,10,2,1,0,2,2,0,3,8,0.257,0.345,0.436,0.78,14,0,0,2,0,0,0,0.313,14,10,Randy Vásquez,R,49,19
21,21,4/16/2025,@,SDP,L,2,4,9,32,30,2,6,1,0,1,2,0,1,1,9,0.255,0.34,0.431,0.772,10,1,0,0,1,0,0,0.238,3,10,Nick Pivetta,R,65,9
