,,,,,Score,,,,Batting Stats,,,,,,,,,,,,,,,,,,,,,,,,,,Opp Starter,,
Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc
1,1,3/27/2025,@,NYY,L,2,4,9,38,33,2,7,1,0,1,2,1,0,4,13,0.212,0.289,0.333,0.623,11,0,0,0,1,0,0,0.3,9,11,Carlos Rodón,L,61
2,2,3/29/2025,@,NYY,L,9,20,9,48,44,9,13,2,0,1,7,1,0,2,9,0.26,0.326,0.377,0.702,18,0,2,0,0,4,0,0.353,12,13,Max Fried,L,36
3,3,3/30/2025,@,NYY,L,3,12,9,35,33,3,6,0,0,1,3,1,0,2,10,0.236,0.298,0.345,0.643,9,0,0,0,0,0,0,0.227,5,12,Marcus Stroman,R,44
4,4,3/31/2025,,KCR,L,1,11,9,36,32,1,6,2,0,0,1,0,0,3,11,0.225,0.293,0.324,0.617,8,1,1,0,0,0,0,0.286,8,10,Kris Bubic,L,72
5,5,4/1/2025,,KCR,W,5,0,9,33,30,5,7,0,0,2,5,1,0,3,8,0.227,0.295,0.343,0.638,13,1,0,0,0,0,0,0.25,4,10,Michael Lorenzen,R,48
6,6,4/2/2025,,KCR,W,3,2,11,46,39,3,8,3,0,1,3,1,0,7,17,0.223,0.301,0.346,0.647,14,0,0,0,0,0,2,0.333,14,12,Cole Ragans,L,61
7,7,4/3/2025,,CIN,W,1,0,9,30,28,1,5,1,0,0,1,2,0,1,4,0.218,0.291,0.331,0.621,6,1,0,1,0,1,0,0.208,5,10,Nick Lodolo,L,68
8,8,4/4/2025,,CIN,W,3,2,9,32,28,3,5,1,0,1,3,1,2,4,5,0.213,0.29,0.33,0.619,9,0,0,0,0,1,0,0.182,5,9,Nick Martinez,R,42
9,9,4/5/2025,,CIN,L,7,11,9,43,38,7,12,2,1,0,5,1,0,4,12,0.226,0.3,0.341,0.641,16,0,0,0,1,0,0,0.444,9,11,Brady Singer,R,39
10,10,4/6/2025,,CIN,W,8,2,9,35,29,8,8,1,0,2,7,0,0,3,5,0.231,0.303,0.356,0.659,15,0,0,2,1,0,0,0.261,3,9,Carson Spiers,R,36
11,11,4/8/2025,@,COL,W,7,1,9,37,36,7,11,1,1,3,7,1,1,0,7,0.238,0.305,0.384,0.689,23,2,1,0,0,1,0,0.308,3,10,Kyle Freeland,L,42
12,12,4/9/2025,@,COL,W,17,2,9,46,40,17,13,2,0,3,15,3,0,5,6,0.246,0.314,0.405,0.718,24,1,0,0,1,1,0,0.313,2,10,Antonio Senzatela,R,15
13,13,4/10/2025,@,COL,L,2,7,9,37,31,2,4,3,0,0,1,0,0,6,10,0.238,0.31,0.392,0.703,7,1,0,0,0,1,0,0.19,8,13,Ryan Feltner,R,67
14,14,4/11/2025,@,ARI,W,7,0,9,41,35,7,10,2,0,0,7,2,0,3,4,0.242,0.313,0.389,0.702,12,0,1,1,1,0,0,0.313,7,10,Eduardo Rodríguez,L,52
15,15,4/12/2025,@,ARI,L,4,5,9,33,31,4,6,1,0,1,3,0,1,2,6,0.239,0.309,0.385,0.694,10,1,0,0,0,0,0,0.208,2,9,Corbin Burnes,R,53
16,16,4/13/2025,@,ARI,L,2,5,9,38,32,2,6,0,0,1,2,2,0,4,11,0.236,0.31,0.378,0.688,9,1,2,0,0,0,0,0.25,9,12,Zac Gallen,R,56
17,17,4/14/2025,,DET,L,1,9,9,34,32,1,5,0,0,0,1,0,0,1,11,0.231,0.304,0.366,0.67,5,0,1,0,0,0,0,0.238,6,12,Tarik Skubal,L,78
18,18,4/15/2025,,DET,W,5,0,9,39,33,5,9,1,1,1,5,4,0,5,5,0.233,0.307,0.371,0.678,15,0,0,0,1,1,0,0.286,10,9,Jack Flaherty,R,44
19,19,4/16/2025,,DET,W,5,1,9,35,31,5,8,0,1,3,5,1,0,2,11,0.235,0.307,0.383,0.69,19,0,0,2,0,1,1,0.294,6,11,Keider Montero,R,38
20,20,4/18/2025,,ATH,W,5,3,9,36,32,5,8,2,0,0,5,2,0,3,8,0.235,0.307,0.379,0.687,10,0,0,1,0,0,0,0.333,7,10,J.T. Ginn,R,49
21,21,4/19/2025,,ATH,L,1,3,9,30,30,1,3,1,0,0,1,0,0,0,3,0.23,0.299,0.369,0.668,4,0,0,0,0,0,0,0.111,2,9,Luis Severino,R,73
22,22,4/20/2025,,ATH,W,14,1,9,46,37,14,17,2,0,1,9,9,1,7,3,0.241,0.313,0.38,0.693,22,1,1,0,1,0,0,0.471,8,11,Jeffrey Springs,L,26
23,23,4/21/2025,@,SFG,L,2,5,9,36,31,2,6,0,0,1,2,1,1,5,9,0.239,0.313,0.376,0.689,9,1,0,0,0,0,0,0.238,7,11,Robbie Ray,L,50
