Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/28/2025,@,TBR,L,2,3,9,37,32,2,7,3,0,0,2,2,2,3,12,0.219,0.297,0.313,0.61,10,0,1,0,1,1,0,0.333,8,10,Ryan Pepiot,R,61,14
2,2,3/29/2025,@,TBR,W,2,1,9,33,33,2,6,1,0,0,2,0,0,0,9,0.2,0.243,0.262,0.504,7,0,0,0,0,0,0,0.25,4,11,Zack Littell,R,67,7
3,3,3/30/2025,@,TBR,L,4,6,9,36,35,4,9,1,0,1,4,0,0,0,10,0.22,0.255,0.3,0.555,13,1,1,0,0,0,0,0.333,5,11,Taj Bradley,R,61,13
4,4,3/31/2025,@,PHI,L,1,6,9,37,33,1,6,0,0,1,1,0,0,4,13,0.211,0.259,0.293,0.552,9,0,0,0,0,0,0,0.263,9,11,Cristopher Sánchez,L,61,13
5,5,4/2/2025,@,PHI,L,1,5,9,33,30,1,4,1,0,1,1,0,0,2,14,0.196,0.25,0.288,0.538,8,1,1,0,0,0,0,0.2,5,11,Zack Wheeler,R,77,10
6,6,4/3/2025,@,PHI,L,1,3,9,37,34,1,8,1,1,0,1,0,1,2,10,0.203,0.258,0.294,0.553,11,0,1,0,0,1,0,0.333,9,12,Taijuan Walker,R,69,13
7,7,4/4/2025,,ATH,L,3,6,11,47,40,3,11,2,1,0,3,1,0,6,14,0.215,0.277,0.308,0.585,15,2,0,0,1,0,2,0.407,13,13,Osvaldo Bido,R,50,22
8,8,4/5/2025,,ATH,L,4,7,9,38,35,4,9,2,0,2,3,0,0,3,5,0.221,0.282,0.331,0.613,17,1,0,0,0,0,0,0.25,7,10,JP Sears,L,49,19
9,9,4/6/2025,,ATH,W,12,5,9,42,36,12,14,5,0,1,12,1,0,3,11,0.24,0.303,0.364,0.667,22,0,2,0,1,0,0,0.52,6,11,Joey Estes,R,24,28
10,10,4/8/2025,,MIL,L,1,7,9,36,32,1,5,1,0,1,1,3,0,4,14,0.232,0.298,0.356,0.654,9,0,0,0,0,0,0,0.235,8,10,Freddy Peralta,R,60,16
11,11,4/9/2025,,MIL,L,2,17,9,40,35,2,8,1,0,1,2,0,0,5,9,0.232,0.3,0.355,0.655,12,0,0,0,0,0,0,0.28,11,11,Tyler Alexander,L,42,17
12,12,4/10/2025,,MIL,W,7,2,9,39,33,7,12,5,0,1,7,1,1,5,7,0.243,0.313,0.375,0.688,20,1,0,1,0,0,1,0.44,8,12,Quinn Priester,R,53,25
13,13,4/11/2025,@,SDP,L,0,8,9,31,30,0,3,2,0,0,0,0,0,1,15,0.233,0.301,0.361,0.662,5,0,0,0,0,0,0,0.2,4,9,Nick Pivetta,R,80,6
14,14,4/12/2025,@,SDP,L,0,2,9,31,30,0,4,1,0,0,0,0,0,1,9,0.227,0.293,0.348,0.641,5,1,0,0,0,0,0,0.19,4,10,Kyle Hart,L,74,5
15,15,4/13/2025,@,SDP,L,0,6,9,29,28,0,2,0,0,0,0,0,0,1,8,0.218,0.283,0.333,0.615,2,1,0,0,0,0,0,0.1,2,9,Michael King,R,90,2
16,16,4/14/2025,@,LAD,L,3,5,9,37,34,3,8,3,0,1,3,0,0,2,9,0.219,0.284,0.338,0.621,14,1,1,0,0,1,0,0.292,7,11,Dustin May,R,69,16
17,17,4/15/2025,@,LAD,L,2,6,9,36,31,2,5,3,0,0,2,0,0,5,10,0.216,0.283,0.333,0.617,8,1,0,0,0,0,0,0.238,7,9,Landon Knack,R,47,12
18,18,4/16/2025,@,LAD,L,7,8,9,39,38,7,11,2,0,2,7,0,0,1,16,0.22,0.285,0.344,0.629,19,0,0,0,0,0,0,0.45,5,11,Bobby Miller,R,25,20
19,19,4/19/2025,,WSN,L,11,12,9,44,35,11,8,0,3,1,11,1,0,6,17,0.221,0.29,0.352,0.641,17,0,2,0,1,0,0,0.389,6,11,MacKenzie Gore,L,67,26
20,20,2025-04-20 (1),,WSN,L,2,3,9,32,30,2,4,0,0,2,2,1,0,1,12,0.217,0.285,0.351,0.636,10,1,1,0,0,0,0,0.125,3,11,Jake Irvin,R,68,12
